OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log
460.0,NonResidential,Large Office,9709 3rd Ave NE,NORTH,47.69917,-122.3268,1983,1.0,5.0,122250.0,0.0,122250.0,"Adult Education, Bank Branch, Office, Parking",Office,91281.0,Adult Education,30177.0,93.0,0.0,1622399.0,0.0,38.59,3.678576561118039
19596.0,NonResidential,Worship Facility,1460 NW 73RD ST,BALLARD,47.68164,-122.3753,1914,1.0,2.0,33589.0,0.0,33589.0,Worship Facility,Worship Facility,33589.0,Parking,11745.0,90.0,0.0,61659.141209,3982.099854,21.93,3.132446096869813
26681.0,NonResidential,Small- and Mid-Sized Office,444 NE RAVENNA BLVD,NORTHWEST,47.67819,-122.3231,1965,1.0,4.0,56896.0,0.0,56896.0,"Office, Parking",Office,40768.0,Parking,16128.0,96.0,0.0,292240.0938,4049.250244,28.46,3.3830334110344844
20087.0,NonResidential,Small- and Mid-Sized Office,800 stewart st,DOWNTOWN,47.61524,-122.33519,1978,1.0,5.0,43506.0,11250.0,32256.0,"Office, Parking",Office,32569.0,Parking,583.3999999999996,51.0,0.0,537543.5,16261.77051,99.15,4.606669062111827
25954.0,NonResidential,Other,3201 E Republican,CENTRAL,47.62322,-122.29006,1959,1.0,1.0,25753.0,0.0,25753.0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,25753.0,Parking,11745.0,73.0,0.0,67861.39844,11465.87012,62.51,4.151197373814884
24822.0,NonResidential,Small- and Mid-Sized Office,1943 1st Avenue South,GREATER DUWAMISH,47.58462,-122.3347,1910,1.0,3.0,49052.0,0.0,49052.0,"Office, Retail Store",Office,32393.0,Retail Store,10057.0,96.0,0.0,422463.5,0.0,10.05,2.402430427963762
21907.0,NonResidential,Medical Office,9730 3rd Avenue NE,NORTH,47.70007,-122.32533,1980,1.0,2.0,26930.0,6350.0,20804.25,Medical Office,Medical Office,26930.0,Parking,11745.0,64.0,0.0,293961.0,0.0,6.99,2.0781907597781832
867.0,NonResidential,Supermarket / Grocery Store,1401 Broadway Avenue,EAST,47.61318,-122.32122,1996,1.0,3.0,119190.0,0.0,119190.0,Supermarket/Grocery Store,Supermarket/Grocery Store,46280.0,Parking,11745.0,71.0,0.0,1703812.0,42641.24219,267.0,5.5909869805108565
19461.0,NonResidential,Worship Facility,6556 35th AVE NE,NORTHEAST,47.67738,-122.28996,1957,1.0,2.0,22220.0,0.0,22220.0,Worship Facility,Worship Facility,22220.0,Parking,11745.0,90.0,0.0,61659.141209,5702.960938,31.74,3.4885975719429885
25001.0,NonResidential,Self-Storage Facility,6920 Roosevelt Way NE,NORTHEAST,47.67923,-122.31715,1947,1.0,3.0,22522.0,0.0,22522.0,Self-Storage Facility,Self-Storage Facility,22522.0,Parking,11745.0,73.0,0.0,61659.141209,4248.649902,23.52,3.1994891110680106
