OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log,GFA_per_floor,Parking_ratio,Building_age_squared,Is_old_building,Size_floors,Age_size,Age_floors,GFA_sqrt,Floors_squared,Neighborhood_mean,Neighborhood_std,PrimaryPropertyType_mean,PrimaryPropertyType_std
24886.0,NonResidential,Small- and Mid-Sized Office,100 23RD AVE S,CENTRAL,47.60104,-122.30155,Office,Office,30100.0,Parking,11745.0,93.0,0.0,330758.6875,3800.129883,28.05,3.3690184832979204,19976.49001175499,0.0,2025,0,79906.0,1797885.0,90.0,199.88246546408217,4.0,3.835734022555626,1.1782890369252899,3.297269669658814,0.9073490338149458
27532.0,NonResidential,Other,621 2nd Ave N,MAGNOLIA / QUEEN ANNE,47.62518,-122.35317,"Office, Other, Parking",Other,28120.0,Parking,1600.0,73.0,0.0,141280.0,12010.16992,67.15,4.221711158142542,15359.99232000384,0.0,4624,1,61440.0,2088960.0,136.0,175.27121840165316,4.0,3.935323358003718,1.285361666288839,4.282175547469136,1.3053288873026805
607.0,NonResidential,Supermarket / Grocery Store,9262 Rainier Ave,SOUTHEAST,47.537451,-122.2884125,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,583.3999999999996,32.0,0.0,2483776.0,46585.80469,306.5,5.728475087246572,61052.938947061055,0.0,196,0,61053.0,854742.0,14.0,247.08905277247715,1.0,3.8364002036202964,1.1819283182974878,5.101079265288282,1.0380693811258503
23930.0,NonResidential,Distribution Center,80 S Hudson Street,GREATER DUWAMISH,47.55945,-122.33601,Distribution Center,Distribution Center,160000.0,Parking,11745.0,94.0,0.0,339383.5,0.0,8.07,2.2049722641270453,159999.84000016,0.0,2304,0,160000.0,7680000.0,48.0,400.0,1.0,3.5021939623231493,1.2671561408877454,3.3102624225812476,1.205387221548688
24624.0,NonResidential,University,3670 Stone Way N,LAKE UNION,47.65231,-122.34217,"College/University, Medical Office",College/University,26393.0,Medical Office,15000.0,73.0,0.0,566263.1875,9077.919922,61.68,4.13804241748782,20646.48967675516,0.36914246965904285,5776,1,82586.0,3138268.0,152.0,203.2067912250966,4.0,4.1935172859006355,1.3505221170910435,4.929560682783722,1.2201842518102026
26146.0,NonResidential,Small- and Mid-Sized Office,1725 Westlake Ave. N,MAGNOLIA / QUEEN ANNE,47.63439,-122.34078,"Office, Parking",Office,28400.0,Parking,7200.0,89.0,0.0,278322.0,5161.609863,34.03,3.5562048372093957,10036.329987890003,0.0,9216,1,90327.0,2890464.0,288.0,173.5194513592064,9.0,3.935323358003718,1.285361666288839,3.297269669658814,0.9073490338149458
19752.0,NonResidential,Worship Facility,2700 1st Ave,DOWNTOWN,47.61636,-122.35094,Worship Facility,Worship Facility,20920.0,Parking,11745.0,15.0,0.0,83542.39844,7570.620117,42.19,3.7656089869726097,10519.094740452629,0.0,4624,1,42076.4,1430597.6,136.0,145.04551009941673,4.0,4.33905242153749,1.3718571608439065,3.3694042071465256,0.9190492773121226
27838.0,NonResidential,Mixed Use Property,1600 E. Madison St.,EAST,47.61554,-122.31098,"Multifamily Housing, Parking, Supermarket/Grocery Store",Multifamily Housing,22486.0,Supermarket/Grocery Store,14257.0,93.0,0.0,613020.125,13005.04004,83.65,4.438525108579144,10606.797878640424,0.27576648941668047,324,0,265170.0,954612.0,90.0,230.2911201067032,25.0,4.224068175692096,1.3596665755260893,4.02240740070352,1.4535352529774157
24629.0,NonResidential,Warehouse,5000 1st Ave. S,GREATER DUWAMISH,47.55718,-122.33288,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,30889.0,Office,18000.0,49.0,0.0,317224.5938,10178.45996,61.6,4.136765278106052,48889.951110048896,0.0,5625,1,48890.0,3666750.0,75.0,221.11083193728885,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
27016.0,NonResidential,Small- and Mid-Sized Office,6363 7th Ave S.,GREATER DUWAMISH,47.54494,-122.32543,"Non-Refrigerated Warehouse, Office, Parking",Office,19785.0,Non-Refrigerated Warehouse,10234.0,66.0,0.0,265132.1875,3908.540527,27.06,3.334345074674314,35016.96498303502,0.0,2209,0,35017.0,1645799.0,47.0,187.128298234126,1.0,3.5021939623231493,1.2671561408877454,3.297269669658814,0.9073490338149458
460.0,NonResidential,Large Office,9709 3rd Ave NE,NORTH,47.69917,-122.3268,"Adult Education, Bank Branch, Office, Parking",Office,91281.0,Adult Education,30177.0,93.0,0.0,1622399.0,0.0,38.59,3.678576561118039,24449.99511000098,0.0,1089,0,611250.0,4034250.0,165.0,349.64267474094174,25.0,3.599443475627612,1.2975374912774322,4.929536101732507,0.8692448643013228
19596.0,NonResidential,Worship Facility,1460 NW 73RD ST,BALLARD,47.68164,-122.3753,Worship Facility,Worship Facility,33589.0,Parking,11745.0,90.0,0.0,61659.141209,3982.099854,21.93,3.132446096869813,16794.4916027542,0.0,10404,1,67178.0,3426078.0,204.0,183.273020382161,4.0,3.912910514987732,1.2339019117506258,3.3694042071465256,0.9190492773121226
26681.0,NonResidential,Small- and Mid-Sized Office,444 NE RAVENNA BLVD,NORTHWEST,47.67819,-122.3231,"Office, Parking",Office,40768.0,Parking,16128.0,96.0,0.0,292240.0938,4049.250244,28.46,3.3830334110344844,14223.996444000888,0.0,2601,1,227584.0,2901696.0,204.0,238.52882425400918,16.0,3.974065390603938,1.308375369217394,3.297269669658814,0.9073490338149458
20087.0,NonResidential,Small- and Mid-Sized Office,800 stewart st,DOWNTOWN,47.61524,-122.33519,"Office, Parking",Office,32569.0,Parking,583.3999999999996,51.0,0.0,537543.5,16261.77051,99.15,4.606669062111827,8701.198259760347,0.2585850227495383,1444,0,217530.0,1653228.0,190.0,208.58091954922435,25.0,4.33905242153749,1.3718571608439065,3.297269669658814,0.9073490338149458
25954.0,NonResidential,Other,3201 E Republican,CENTRAL,47.62322,-122.29006,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,25753.0,Parking,11745.0,73.0,0.0,67861.39844,11465.87012,62.51,4.151197373814884,25752.974247025755,0.0,3249,1,25753.0,1467921.0,57.0,160.47741274085897,1.0,3.835734022555626,1.1782890369252899,4.282175547469136,1.3053288873026805
24822.0,NonResidential,Small- and Mid-Sized Office,1943 1st Avenue South,GREATER DUWAMISH,47.58462,-122.3347,"Office, Retail Store",Office,32393.0,Retail Store,10057.0,96.0,0.0,422463.5,0.0,10.05,2.402430427963762,16350.66121644626,0.0,11236,1,147156.0,5199512.0,318.0,221.47686109388493,9.0,3.5021939623231493,1.2671561408877454,3.297269669658814,0.9073490338149458
21907.0,NonResidential,Medical Office,9730 3rd Avenue NE,NORTH,47.70007,-122.32533,Medical Office,Medical Office,26930.0,Parking,11745.0,64.0,0.0,293961.0,0.0,6.99,2.0781907597781832,13464.993267503365,0.23579650946023778,1296,0,53860.0,969480.0,72.0,164.10362579784763,4.0,3.599443475627612,1.2975374912774322,4.557738771436541,1.3455760875549025
867.0,NonResidential,Supermarket / Grocery Store,1401 Broadway Avenue,EAST,47.61318,-122.32122,Supermarket/Grocery Store,Supermarket/Grocery Store,46280.0,Parking,11745.0,71.0,0.0,1703812.0,42641.24219,267.0,5.5909869805108565,39729.98675667108,0.0,400,0,357570.0,2383800.0,60.0,345.239047617734,9.0,4.224068175692096,1.3596665755260893,5.101079265288282,1.0380693811258503
19461.0,NonResidential,Worship Facility,6556 35th AVE NE,NORTHEAST,47.67738,-122.28996,Worship Facility,Worship Facility,22220.0,Parking,11745.0,90.0,0.0,61659.141209,5702.960938,31.74,3.4885975719429885,11109.994445002776,0.0,3481,1,44440.0,1310980.0,118.0,149.06374475371265,4.0,4.011790676637696,1.2673379379504515,3.3694042071465256,0.9190492773121226
25001.0,NonResidential,Self-Storage Facility,6920 Roosevelt Way NE,NORTHEAST,47.67923,-122.31715,Self-Storage Facility,Self-Storage Facility,22522.0,Parking,11745.0,73.0,0.0,61659.141209,4248.649902,23.52,3.1994891110680106,7507.330830889723,0.0,4761,1,67566.0,1554018.0,207.0,150.07331541616585,9.0,4.011790676637696,1.2673379379504515,2.7568626089865815,1.033288695351429
26157.0,NonResidential,Senior Care Community,7500 Seward Park Ave S,SOUTHEAST,47.537451,-122.2884125,Senior Care Community,Senior Care Community,141297.0,Parking,11745.0,76.0,0.0,1992345.25,65448.83886650005,564.2850000000001,6.337327980655664,141296.8587031413,0.0,2401,0,141297.0,6923553.0,49.0,375.8949321286468,1.0,3.8364002036202964,1.1819283182974878,5.164982346452764,0.927964657415081
